"Orlando Magic","Atlanta Hawks","Brooklyn Nets","Toronto Raptors","New York Knicks","Dallas Mavericks","Houston Rockets","San Antonio Spurs","Chicago Bulls","Utah Jazz","Portland Trailblazers","Golden State Warriors","Memphis Grizzlies","Philadelphia 76ers","Boston Celtics","Cleveland Cavaliers","Charlotte Hornets","Miami Heat","Oklahoma City Thunder","Los Angeles Lakers","Denver Nuggets","Phoenix Suns","Los Angeles Clippers","Washington Wizards","Detroit Pistons","Indiana Pacers","Minnesota Timberwolves","Milwaukee Bucks","Sacramento Kings","New Orleans Pelicans"
1642.03536689428,1547.37248330721,1329.77347171004,1366.79838216293,1476.03912193773,1650.89294823232,1505.3181483762,1672.68599714942,1629.68629639192,1532.370783578,1552.49418607774,1428.48678955984,1527.73337951795,1481.74633348172,1663.77554802077,1376.38023901676,1450.10614123752,1660.72179887884,1607.45437197393,1663.04911988127,1587.12245953922,1544.90907750825,1377.15893265,1320.53733578906,1379.25934145709,1467.9548660523,1296.79902371045,1477.58639834504,1319.88782733534,1526.0206859452
1567.55195665172,1540.79333259374,1332.07251476009,1357.36760553005,1492.78750557037,1605.04337021393,1520.9068184743,1662.3110411499,1675.36942867045,1493.3416288643,1523.93401095467,1451.57516961828,1579.04295216033,1547.01421198285,1577.06007740415,1361.56522538961,1276.99415140386,1683.30397910048,1685.58988164263,1596.48930926688,1574.16627574953,1504.81157787402,1536.85687475456,1309.89849546493,1377.53109202937,1550.65334072262,1411.92977040991,1480.39044057884,1387.80188111767,1408.43063252184
1361.78581096611,1530.21366068601,1493.85983314551,1413.4005040137,1593.15925972784,1499.57749662765,1545.65460185582,1700.62294014496,1560.44985851551,1519.89232806022,1450.8391182736,1514.69012748296,1633.21348968159,1447.65660222042,1529.15109423874,1339.01059949736,1244.85571035519,1715.83058622254,1701.64265102663,1531.04769330427,1622.81708271978,1422.80636373951,1629.44914329234,1383.47591344951,1396.88537647175,1584.2302729832,1421.39085366205,1475.54213667,1377.87047838848,1407.93294535859
1320.60155468468,1477.17134887234,1502.55262913294,1540.48753381082,1471.18121972437,1569.80913535164,1613.51143307416,1703.09748598616,1528.04103679633,1411.14949322211,1578.01244160975,1599.08691632874,1576.98576663175,1306.37714378644,1404.7322598696,1375.07204537583,1428.78949768556,1672.89413284668,1687.1670737454,1413.57377709592,1511.74331131728,1515.26917998704,1648.8692215249,1501.07908113525,1397.9241463397,1623.78881753365,1523.17706592766,1301.80407732181,1398.58842672856,1431.7137562143
1330.20264952111,1625.41689279794,1461.46323483704,1573.11482454709,1342.79719199421,1598.56204582192,1634.07558081646,1675.83871316128,1568.12750835812,1429.68667334951,1617.57241123466,1729.05572792677,1631.49712887819,1266.87701677705,1414.54933736015,1568.16658452806,1449.77871183351,1495.54579351948,1578.79163283503,1353.52403813482,1438.65114634206,1544.84063798926,1653.66923288602,1543.04953668793,1387.39346084656,1476.97266084544,1348.71281760154,1437.57022719314,1411.74510032097,1495.98963624218
1420.43542048335,1566.53810739642,1359.65586650759,1593.50165934799,1386.3163263876,1530.41729533787,1533.15111980397,1748.3727665125,1511.64983728679,1515.78124153609,1536.88178174265,1819.36207348353,1532.06132451176,1231.52462292387,1552.11883660761,1672.53544728063,1504.58870667419,1531.05460553378,1645.57044691825,1281.70121219754,1423.73689680818,1382.31833896064,1625.29258798837,1493.88458185678,1498.60873978076,1532.92611953234,1339.50698464389,1424.68142579229,1425.55173215693,1448.35460031206
1394.43722381882,1512.87533837443,1294.37680429773,1594.32871858188,1415.08136667348,1441.79037937698,1605.54393202343,1707.82271101167,1483.86739263991,1578.96733283041,1522.61660357429,1776.27184804934,1513.91207528663,1320.33910240981,1583.49445616853,1645.77580077511,1511.20729170527,1499.39250055289,1594.34310214145,1351.87792517317,1471.55904424518,1343.41755792577,1607.48121733441,1545.41607336547,1483.24231765951,1502.29461807556,1430.13491033992,1470.31425145898,1415.5149092503,1417.81178490584
1369.35872242429,1379.12910802023,1373.78603899897,1644.33298689781,1414.03349854692,1409.19329632104,1698.18243312273,1588.07730355383,1406.53999305391,1568.10813931816,1560.22834503927,1720.1828146848,1402.19011341913,1524.92202306029,1609.20322489255,1580.7034838499,1465.21843940816,1521.59667207653,1553.923742397,1419.34579660489,1534.2413034041,1324.25425646963,1535.64121998633,1541.47482990716,1471.67820096691,1529.06401984088,1530.21543628818,1509.22749137912,1348.42900859872,1528.61853322952
1444.07665274418,1348.93390781417,1452.52917477363,1655.31729673875,1307.24791141415,1431.52410776113,1630.32593886832,1548.93787044707,1318.91773175179,1596.88738754296,1607.0105769178,1678.04326858875,1417.90664278552,1597.38598280215,1589.66087236748,1363.45452799437,1481.09497227395,1478.43700658275,1586.46117025444,1481.17862871816,1601.81498259018,1280.6436212278,1537.63943887041,1447.11235149273,1483.6165733524,1577.1614179279,1500.54702695293,1661.94562824997,1456.29102676602,1511.74660234778
1486.42819095381,1355.03225853097,1473.29685981703,1679.72458591526,1311.98815140985,1550.7092506632,1618.92624835591,1495.79931930909,1359.94837509292,1593.98845116346,1511.42341459662,1420.17508073981,1451.60223364274,1588.60161361703,1643.19926783093,1322.57710937933,1401.0403131741,1580.97517202876,1571.68738595495,1636.36662032795,1598.6820108713,1412.42941720171,1618.5441919127,1396.22279465982,1409.68156410105,1554.70456357517,1413.02843936713,1713.5668834924,1445.71985546074,1454.88299955647
